#{"t_start": 1747857828.8649297, "env_id": "LunarLander-v2"}
r,l,t
-69.657313,94,649.402347
-67.852835,120,650.738958
-67.302524,90,651.741354
-103.330096,85,652.666713
-76.503508,70,653.421064
-168.798901,93,654.422707
-67.302726,112,655.641808
-75.178137,115,656.907232
-105.460709,104,658.030525
-111.023738,128,659.415244
-45.957967,143,660.994392
-73.166365,69,661.741807
-72.610276,98,662.801131
-111.653427,141,664.327128
-119.203201,171,666.215414
-94.289539,133,667.660367
62.893333,1000,678.58824
-60.303022,119,679.877551
-67.110051,68,680.632751
-89.913246,70,681.388743
-66.675425,99,682.459002
-111.238808,97,683.506767
-77.445117,126,684.895734
-36.007059,141,686.433614
-69.799391,137,687.921594
-85.639729,120,689.236799
-170.238671,119,690.603356
-355.773643,124,691.944453
-170.694907,118,693.229834
-82.327535,78,694.086456
-44.666807,87,695.043753
-77.669862,168,696.87002
-107.627332,113,698.086998
-147.202149,84,698.996628
-65.148216,87,699.966855
-79.255162,68,700.712415
-81.440588,85,701.634401
-144.333662,86,702.560642
-57.434597,76,703.387065
-103.367399,94,704.415045
-53.880793,101,705.532936
-13.023501,178,707.464784
-37.409872,122,708.785055
-66.161919,77,709.643382
-74.14117,74,710.461363
-85.912952,75,711.266955
-52.985135,138,712.749646
-115.219717,72,713.530402
-115.656889,170,715.406219
-51.871867,72,716.186653
-213.757938,129,717.582613
-87.534154,163,719.361117
-122.729732,96,720.40194
-62.375111,118,721.668635
-62.512163,150,723.289855
-39.158021,161,725.05185
-11.637846,137,726.532134
-147.855497,129,727.920248
-163.395222,129,729.329509
-54.893366,130,730.730835
-46.014041,123,732.066693
-27.58445,130,733.472615
-60.176283,137,734.978535
-82.557662,79,735.833187
-116.94443,112,737.051203
-43.749554,142,738.591511
-230.052478,155,740.277746
-132.104084,98,741.330034
-112.427466,97,742.375472
-45.976958,80,743.238131
-62.156072,140,744.785659
-105.54742,105,745.919054
-105.335083,99,746.988227
-65.779642,95,748.012769
-57.036185,123,749.361236
-226.527645,129,750.757179
-67.639815,129,752.154008
-88.509281,73,752.945917
-47.16858,73,753.768303
-47.439986,142,755.305183
-25.884665,154,756.976953
-62.984715,147,758.583332
-167.764084,152,760.225321
3.691029,76,761.06065
-77.583414,64,761.747862
-46.687526,94,762.759868
-66.252263,98,763.839703
-106.147466,133,765.27786
-76.421773,115,766.511539
-216.396434,140,768.03888
-232.526436,206,770.316275
-32.845654,121,771.641898
-103.54703,126,773.060544
-193.863871,118,774.354908
-8.158299,142,775.905575
-86.902292,118,777.231433
-74.68623,81,778.126835
-45.188444,139,779.652051
-116.971404,135,781.16952
-63.514183,71,781.947423
-69.743968,137,783.445019
-119.745981,135,784.912767
-61.753294,162,786.73161
-105.661919,106,787.891563
-66.128041,80,788.775132
-77.849906,87,789.759182
-75.429441,70,790.529239
-66.160699,78,791.384984
-94.852661,118,792.669723
-85.696104,76,793.497252
-26.174294,168,795.381194
-32.235648,96,796.424115
-62.709495,84,797.330635
28.020037,129,798.756208
-105.150814,126,800.128946
-79.629059,133,801.543819
-136.444888,98,802.591567
-75.883571,133,804.040768
-65.029185,137,805.510198
-238.279666,123,806.84444
-83.792333,85,807.750649
-227.930077,104,808.897702
-76.814477,73,809.680035
-37.223515,132,811.147433
-10.90629,91,812.122291
-103.192582,80,812.975425
-199.511554,129,814.405447
-44.690749,102,815.501445
-108.881407,166,817.293304
-163.265809,179,819.277748
-173.618368,71,820.035187
-64.806728,86,820.955876
-233.596168,138,822.428371
-89.005845,115,823.699539
-55.572183,102,824.798835
-100.440808,109,825.968159
-201.558971,116,827.215913
-142.184043,154,828.897883
-96.456528,114,830.128015
-87.215019,109,831.300309
-177.72355,167,833.124765
-190.808994,96,834.160606
-21.776387,75,834.979468
-82.805116,74,835.778706
-88.474761,77,836.6101
12.05106,127,838.014298
-42.694287,112,839.224332
-160.160384,105,840.353919
104.153578,1000,851.19187
-68.780711,159,852.939576
-95.724067,152,854.580151
-59.23202,133,856.025487
-15.340568,92,857.008836
-75.85674,81,857.891626
-98.204146,127,859.258674
-11.259765,108,860.429144
-80.499021,97,861.475942
-76.765796,129,862.925619
-92.456109,105,864.078299
-58.953192,166,865.889578
-49.231866,148,867.548143
-52.719446,152,869.235296
-78.081611,141,870.796263
-23.848981,130,872.257655
-156.134038,158,873.995962
-134.171964,140,875.559944
91.303857,1000,886.500763
-114.232888,114,887.739949
-195.353254,154,889.409735
-78.373915,80,890.312241
-177.690935,91,891.299138
-34.929512,116,892.560932
-98.557195,172,894.42879
-87.568723,139,895.966768
-50.35253,97,897.015876
-186.48625,146,898.59611
-60.141627,77,899.433151
-11.311714,115,900.693271
-81.251025,147,902.286123
-38.648651,99,903.364716
-252.531447,160,905.129725
1.170358,103,906.241193
-102.163059,108,907.407257
-75.697111,58,908.035594
-37.214415,150,909.678072
-82.157194,185,911.687308
9.134059,105,912.831662
-63.698201,99,913.90819
-42.153352,146,915.514377
-59.09814,127,916.896785
-90.732819,183,918.890046
-76.413963,78,919.749392
-30.191502,152,921.390033
12.656681,167,923.194378
-40.516116,78,924.064145
-86.438616,134,925.523693
-32.331351,80,926.398309
-49.572432,140,927.913204
-43.02711,96,928.97899
-89.670858,134,930.444797
-141.555298,124,931.792569
-68.594983,185,933.82812
-66.169457,119,935.124435
-72.874185,122,936.449144
-71.015184,90,937.424823
-174.412725,125,938.804358
-63.104708,107,939.957383
-87.626623,119,941.252945
-42.216793,116,942.508485
34.290964,163,944.308608
-64.757498,160,946.049518
-89.412523,140,947.571849
-74.290859,125,948.959599
-104.752998,88,949.903921
-37.318429,215,952.232136
-31.944086,133,953.691498
50.807042,1000,964.53724
-24.265678,91,965.519928
22.038439,136,966.990076
-38.022516,165,968.796898
-62.980608,173,970.673022
-76.397846,228,973.166819
-180.532963,138,974.660491
-154.952633,125,976.016633
-88.775169,115,977.267497
-86.303793,91,978.27019
-81.059251,121,979.583196
-29.033342,139,981.091994
-37.095886,147,982.699591
-93.724225,92,983.700005
-98.312903,140,985.215918
-259.609563,100,986.303103
-230.927957,118,987.600094
-48.801783,116,988.874499
-49.892653,139,990.393184
-118.750773,121,991.695858
-57.295088,69,992.456609
-57.657557,152,994.118536
-69.860363,121,995.449301
-56.564623,202,997.668497
2.055742,146,999.251122
-184.524451,203,1001.45725
-23.241202,138,1002.987321
-58.183844,159,1004.738067
-92.953181,155,1006.445064
-81.515747,179,1008.440652
-66.833031,125,1009.811898
-51.12524,172,1011.703656
-58.914853,70,1012.503808
-122.486461,134,1013.978205
46.155975,108,1015.153355
-69.65222,161,1016.923778
-101.223538,135,1018.408427
-28.853174,147,1020.019307
-66.732647,161,1021.787223
12.359083,144,1023.365298
-45.048489,134,1024.829042
-42.945991,239,1027.457597
-104.053877,147,1029.055749
-55.780721,137,1030.544975
-85.776027,122,1031.915639
-67.254312,133,1033.386026
-64.946886,77,1034.230303
-89.562031,202,1036.441056
-29.460573,81,1037.339365
-96.371562,155,1039.041496
-30.844901,70,1039.811601
-39.295427,153,1041.497991
-34.605383,135,1042.990593
-35.940891,170,1044.846356
-37.255448,100,1045.941308
-71.048136,110,1047.17971
-94.832722,108,1048.363272
-33.787995,174,1050.273825
-19.864134,149,1051.91919
36.611126,156,1053.631484
-68.463042,197,1055.793655
-175.471761,139,1057.346208
-43.134919,173,1059.239403
-86.744751,82,1060.135291
-50.14416,134,1061.622069
-129.750456,122,1062.955936
-79.5847,104,1064.105126
-62.923787,160,1065.875085
20.204559,107,1067.055154
-23.998556,185,1069.092566
-318.945614,128,1070.502292
-40.330749,153,1072.188351
-57.953921,89,1073.164213
-37.743084,131,1074.605963
-72.543429,124,1076.000747
-213.387088,173,1077.904749
-46.039981,88,1078.868799
-153.828792,198,1081.066808
-201.74336,139,1082.598215
-60.653948,91,1083.596859
-67.243933,90,1084.589581
6.90779,94,1085.646079
-24.017272,125,1087.019635
-31.542393,202,1089.238581
-35.782616,141,1090.802231
-7.836392,150,1092.440472
-42.136844,157,1094.175583
-50.18008,162,1095.9792
-48.259699,152,1097.638423
-22.6665,98,1098.714858
-258.223799,185,1100.76594
14.727643,187,1102.830244
-31.09533,174,1104.778349
-6.377251,156,1106.568866
-26.528769,221,1109.044127
-96.693832,114,1110.33488
-48.860178,118,1111.649684
7.434986,208,1113.975215
-40.346176,134,1115.472075
3.050834,168,1117.309804
-51.77239,109,1118.510632
-68.46876,163,1120.308487
-92.878689,121,1121.629302
-32.123849,84,1122.552524
-53.707378,88,1123.51594
-123.058732,112,1124.770336
-40.888881,89,1125.752575
-62.206649,141,1127.283214
9.127749,142,1128.841446
-16.810419,137,1130.349511
-12.025728,156,1132.036032
-53.241183,72,1132.806743
28.552885,195,1134.963415
-34.636863,106,1136.119019
-83.797829,115,1137.369364
-15.614035,146,1138.967538
-62.790819,76,1139.789496
-54.807935,124,1141.130336
-60.705866,1000,1152.029701
-58.931469,103,1153.155569
-73.482307,98,1154.228755
9.44927,228,1156.723317
-28.931718,163,1158.510767
-336.737914,170,1160.372855
-48.526341,169,1162.220404
-102.75144,189,1164.279651
-68.365592,110,1165.476265
-46.380189,131,1166.911481
14.883629,115,1168.177862
-20.206379,90,1169.164581
-53.243803,122,1170.498189
-7.744317,117,1171.778426
27.073794,129,1173.176099
-39.513728,208,1175.449509
-60.125108,156,1177.16316
-25.759516,140,1178.700822
-63.51757,81,1179.595064
-83.165687,131,1181.041173
-41.980852,133,1182.493174
-5.20364,117,1183.789302
-29.763985,163,1185.576996
-43.682603,175,1187.50586
-52.676401,79,1188.374213
-87.906759,202,1190.627656
146.275812,1000,1201.725333
-314.239084,230,1204.28119
-101.50696,160,1206.040181
-120.450626,105,1207.208036
39.760632,110,1208.43378
-48.539993,126,1209.840702
-20.688359,124,1211.219998
-29.715719,143,1212.84098
-38.965043,144,1214.46254
-30.100575,152,1216.169185
-103.549129,163,1218.009775
-86.828456,254,1220.877446
-78.667,195,1223.063754
-10.463443,88,1224.046806
-31.699126,173,1225.99036
-90.438226,136,1227.516182
22.933936,190,1229.644548
-68.018406,136,1231.171335
-88.586455,201,1233.443093
-20.10944,99,1234.562248
0.018571,238,1237.235815
-7.957262,126,1238.646039
-18.543451,111,1239.898719
-76.979227,185,1241.978923
-56.351539,143,1243.577428
-40.986265,156,1245.32516
-31.179309,211,1247.69701
-87.457384,186,1249.775985
-80.446281,146,1251.417437
-89.992715,146,1253.057772
-84.58535,105,1254.226283
82.238369,1000,1265.401779
93.957443,1000,1276.616802
-57.587794,181,1278.631922
-20.153592,207,1280.940543
-44.062645,87,1281.913798
-235.08964,218,1284.347504
-18.426876,153,1286.068774
-49.3435,104,1287.220986
-85.618827,121,1288.558463
-39.638855,196,1290.751723
-44.205129,219,1293.196393
-58.703413,193,1295.366069
16.448961,142,1296.967748
-52.930773,160,1298.799224
-222.220534,231,1301.38686
